Organization Name,Sector Name,SubSector Name,Operation Name,Address,eWh/HDD/ft^2,Energy Intensity (ekWh/ML)
Algoma District School Board,School Board,School Board,Parkland PS,54 Amber St,3.81372461193808,
Algoma District School Board,School Board,School Board,Korah C & VS,636 Goulais Ave,3.87549437203589,
Algoma District School Board,School Board,School Board,St Joseph Island Central S,1326 Richards Street,3.89128320487904,
Algoma District School Board,School Board,School Board,Alexander Henry HS,232 Northern Ave E,3.90255510601078,
Algoma District School Board,School Board,School Board,Michipicoten HS- perpetual leased,86 Magpie Rd.,3.91988689266021,
Algoma District School Board,School Board,School Board,Hornepayne Jk-12 School,162 Fourth Avenue,4.50029971580543,
Algoma District School Board,School Board,School Board,Mountain View PS,21 Mahler Rd,4.07859753233959,
Algoma District School Board,School Board,School Board,Alex Muir PS,188 Kohler St,4.13091027649871,
Algoma District School Board,School Board,School Board,Anna McCrea PS,250 Mark St,4.14156256444603,
Algoma District School Board,School Board,School Board,Adult Education Centre(former Roman Ave PS),50 Roman Ave,4.2318738350581,
Algoma District School Board,School Board,School Board,Esten Park Public School,115 Hergott Avenue,4.24349201108517,
Algoma District School Board,School Board,School Board,Tarentorus PS,96 Northwood St,4.28408347145155,
Algoma District School Board,School Board,School Board,Elliot Lake SS (Sec),303 Mississauga Ave,4.32507947203951,
Algoma District School Board,School Board,School Board,Blind River PS,19 Hanes Ave,4.4436442899495,
Algoma District School Board,School Board,School Board,Arthur Henderson PS,2 Henderson Lane,4.66918609837893,
Algoma District School Board,School Board,School Board,Greenwood PS,8 Fourth Line W,4.72910731459154,
Algoma District School Board,School Board,School Board,Prince Charles PS,550 Northern Ave E,4.74410563659777,
Algoma District School Board,School Board,School Board,Queen Elizabeth PS,139 Elizabeth St,4.77775486176668,
Algoma District School Board,School Board,School Board,R M Moore PS,1272 Base Line,4.78953036488921,
Algoma District School Board,School Board,School Board,East View PS,75 Arizona Ave,4.94672812211336,
Algoma District School Board,School Board,School Board,White Pines C & VS & Intermediate School,1007 Trunk Rd,5.13073549075769,
Algoma District School Board,School Board,School Board,Thessalon PS,90 Stanley Street,5.34371601543742,
Algoma District School Board,School Board,School Board,Pinewood PS,3924 Queen St E,5.36134980087836,
Algoma District School Board,School Board,School Board,H M Robbins PS,83 East Balfour St,5.48232338207106,
Algoma District School Board,School Board,School Board,Chapleau Secondary School & Track Field Facility,20 Teak Street,5.60253801752135,
Algoma District School Board,School Board,School Board,Chapleau Public School,24 Pine Street,5.60907230993223,
Algoma District School Board,School Board,School Board,Echo Bay Central PS,290 Church St,5.8222501066769,
Algoma District School Board,School Board,School Board,Francis H Clergue PS,80 Weldon Ave,6.17798799695387,
Algoma District School Board,School Board,School Board,Grandview PS,161 Denwood Dr,6.17798799695387,
Algoma District School Board,School Board,School Board,Rockhaven TR School,1859 Riverview Road,6.17798799695387,
Algoma District School Board,School Board,School Board,Superior Heights C&VS & Interm. School,750 North St,6.17798799695387,
Algoma District School Board,School Board,School Board,Central Algoma SS,32 Kensington Rd,6.17798799695387,
Algoma District School Board,School Board,School Board,Laird Central PS,349 Lake George Rd,6.17798799695387,
Algoma District School Board,School Board,School Board,Wm Merrifield VC PS,331 Patrick St,6.17798799695387,
Algoma University,Post-Secondary Educational Institution,University,Downtown Residence,617 Queen Street East,3.39758139238106,
Algoma University,Post-Secondary Educational Institution,University,Algoma University,1520 Queen Street East,7.36520650302803,
Algoma University,Post-Secondary Educational Institution,University,Downtown Residence,617 Queen Street East,3.39758139238106,
Algoma University,Post-Secondary Educational Institution,University,Algoma University,1520 Queen Street East,7.36520650302803,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Plant Operations (East),131 Grant Timmons Drive,5.7127717889169,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,ALCDSB Catholic Education Centre,151 Dairy Ave,8.70524628288993,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Martin Catholic School,"1 Post Street, PO Box 177",2.97656882814827,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St. James Major Catholic School,14608 HWY 38,3.22827439679093,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Our Lady of Mount Carmel Catholic School,97 Park Cres,3.83986507477597,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Michael Catholic School,273 Church Street,3.89244111874793,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Carthagh Catholic School,"114 Hungerford Road, P.O. Box 279",4.15540144307246,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Paul Catholic Secondary School,15 Tripp Blvd.,4.26949395241706,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Holy Cross Catholic Secondary School,1085 Woodbine Rd,4.58039755837405,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Patrick Catholic School (Erinsville),6041 Highway 41,4.50577385772958,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Joseph Catholic School,"405 Bridge Street, East",4.53479889211139,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Martha Catholic School,455 St. Martha Street,4.65180945712586,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Ecole Cathedrale Catholic School,301 Johnson St,4.66164225439156,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Sacred Heart Catholic School (Marmora),"50 Bursthall Street, P.O. Box 280",4.7709037073052,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Thomas More Catholic School,234 Norman Rogers Dr,4.88719973633986,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Gregory Catholic School,"7 Owen Street, P.O. Box 1449",4.92370164072928,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Archbishop O Sullivan Catholic School,974 Pembridge Cres,5.33915070570336,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Georges Vanier Catholic School,100 Tracey Street,5.34243363748208,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Patrick Catholic School (Kingston),158 Patrick St,5.46184946570658,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Peter Catholic School (Trenton),101 Queen Street,5.53581775494399,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Peter Catholic School (Kingston),48 Seventh Ave,5.71995022658214,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,J J O'Neill Catholic School,240 Marilyn Ave,5.82028089821751,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Nicholson Catholic College,301 Church Street,5.93849128210986,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Regiopolis - Notre Dame Catholic Secondary School,130 Russell St,5.97644768507302,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Marguerite Bourgeois Catholic School,355 Waterloo Drive,6.02175963153101,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Sacred Heart Catholic School (Batawa),"31 Thomas Bata Blvd., P.O. Box 135",6.10015026184544,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Our Lady of Mercy Catholic School,"192 Bridge Street, West, P.O. Box 778",6.78132612450847,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Paul Catholic School (Kingston),266 McMahon Ave,6.68403388984638,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Holy Family Catholic School,114 Wiley St,6.78022232034958,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Mother Teresa Catholic School,1044 Lancaster Dr,6.83161076973823,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Sacred Heart Catholic School (Wolfe Island),"57 Road 95, Box 59",6.91073015692275,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Mary Catholic School (Read),"1285 Read Side Road, RR 1",7.08117583818278,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Joseph & St Mary Catholic School,671 Brock Street,7.12172926597582,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Our Lady of Lourdes Catholic School,20 Cranbrook St,7.29483427680379,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Our Lady of Fatima Catholic School,300 Sidney Street,7.35859741601818,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Theresa Catholic Secondary School,135 Adam Street,7.57466649825214,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,John XXIII Catholic School,736 High Gate Park Dr,7.96865339975243,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Holy Rosary Catholic School,10 Prince of Wales Drive,8.14743859562536,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Patrick Catholic School (Harrowsmith),389 Wilton Rd,8.21278909376793,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,Holy Name of Mary Catholic School,7314 Old Highway 2,8.21278909376793,
Algonquin & Lakeshore Catholic District School Board,School Board,School Board,St Mary Catholic School (Trenton),85 Campbell Street,8.21278909376793,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Centre for Construction Excellence,1385 Woodroffe Avenue,2.49476080810817,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 1,1385 Woodroffe Avenue,3.68520616504853,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 2,1385 Woodroffe Avenue,3.78048373012132,
Algonquin College,Post-Secondary Educational Institution,College,Transportation Technology Centre,1385 Woodroffe Avenue,5.03067356505156,
Algonquin College,Post-Secondary Educational Institution,College,Building J,1385 Woodroffe Avenue,5.07598650439248,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 3,1385 Woodroffe Avenue,5.16148463908629,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460018,
Algonquin College,Post-Secondary Educational Institution,College,Early Learning Centre,1385 Woodroffe Avenue,5.40917426294688,
Algonquin College,Post-Secondary Educational Institution,College,Building B,1385 Woodroffe Avenue,5.58420661418393,
Algonquin College,Post-Secondary Educational Institution,College,Building C,1385 Woodroffe Avenue,5.72959624681965,
Algonquin College,Post-Secondary Educational Institution,College,Police and Public Safety Institute,1385 Woodroffe Avenue,6.13598261376251,
Algonquin College,Post-Secondary Educational Institution,College,Building F,1385 Woodroffe Avenue,6.62740760081985,
Algonquin College,Post-Secondary Educational Institution,College,Building M,1385 Woodroffe Avenue,6.6711220505096,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797456,
Algonquin College,Post-Secondary Educational Institution,College,Physical Resources,1385 Woodroffe Avenue,7.04231883429104,
Algonquin College,Post-Secondary Educational Institution,College,Advanced Technology Centre,1385 Woodroffe Avenue,8.13011314279373,
Algonquin College,Post-Secondary Educational Institution,College,Building N,1385 Woodroffe Avenue,10.6512594058486,
Algonquin College,Post-Secondary Educational Institution,College,Animal Health Care Centre,1385 Woodroffe Avenue,12.8252972423057,
Algonquin College,Post-Secondary Educational Institution,College,Philip Killeen Hospitality Centre,1385 Woodroffe Avenue,13.0814164187878,
Algonquin College,Post-Secondary Educational Institution,College,Building D,1385 Woodroffe Avenue,13.191478260213,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Centre for Construction Excellence,1385 Woodroffe Avenue,2.39594760215254,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Centre for Construction Excellence,1385 Woodroffe Avenue,2.39594760215254,
Algonquin College,Post-Secondary Educational Institution,College,Transportation Technology Centre,1385 Woodroffe Avenue,5.03067356505158,
Algonquin College,Post-Secondary Educational Institution,College,Transportation Technology Centre,1385 Woodroffe Avenue,5.03067356505158,
Algonquin College,Post-Secondary Educational Institution,College,Building J,1385 Woodroffe Avenue,5.07598650439249,
Algonquin College,Post-Secondary Educational Institution,College,Building J,1385 Woodroffe Avenue,5.07598650439249,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460015,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460015,
Algonquin College,Post-Secondary Educational Institution,College,Building B,1385 Woodroffe Avenue,5.58420661418391,
Algonquin College,Post-Secondary Educational Institution,College,Building B,1385 Woodroffe Avenue,5.58420661418391,
Algonquin College,Post-Secondary Educational Institution,College,Building C,1385 Woodroffe Avenue,5.72959624681965,
Algonquin College,Post-Secondary Educational Institution,College,Building C,1385 Woodroffe Avenue,5.72959624681965,
Algonquin College,Post-Secondary Educational Institution,College,Police and Public Safety Institute,1385 Woodroffe Avenue,6.13598261376249,
Algonquin College,Post-Secondary Educational Institution,College,Police and Public Safety Institute,1385 Woodroffe Avenue,6.13598261376249,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797456,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797456,
Algonquin College,Post-Secondary Educational Institution,College,Advanced Technology Centre,1385 Woodroffe Avenue,8.13011314279373,
Algonquin College,Post-Secondary Educational Institution,College,Advanced Technology Centre,1385 Woodroffe Avenue,8.13011314279373,
Algonquin College,Post-Secondary Educational Institution,College,Building N,1385 Woodroffe Avenue,10.6512594058487,
Algonquin College,Post-Secondary Educational Institution,College,Building N,1385 Woodroffe Avenue,10.6512594058487,
Algonquin College,Post-Secondary Educational Institution,College,Animal Health Care Centre,1385 Woodroffe Avenue,12.8252972423057,
Algonquin College,Post-Secondary Educational Institution,College,Animal Health Care Centre,1385 Woodroffe Avenue,12.8252972423057,
Algonquin College,Post-Secondary Educational Institution,College,Philip Killeen Hospitality Centre,1385 Woodroffe Avenue,13.0814164187878,
Algonquin College,Post-Secondary Educational Institution,College,Philip Killeen Hospitality Centre,1385 Woodroffe Avenue,13.0814164187878,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Centre for Construction Excellence,1385 Woodroffe Avenue,3.15133904528273,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Centre for Construction Excellence,1385 Woodroffe Avenue,3.15133904528274,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 1,1385 Woodroffe Avenue,3.68520616504853,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 2,1385 Woodroffe Avenue,3.78048373012131,
Algonquin College,Post-Secondary Educational Institution,College,Transportation Technology Centre,1385 Woodroffe Avenue,5.03067356505156,
Algonquin College,Post-Secondary Educational Institution,College,Transportation Technology Centre,1385 Woodroffe Avenue,5.03067356505157,
Algonquin College,Post-Secondary Educational Institution,College,Building J,1385 Woodroffe Avenue,5.07598650439248,
Algonquin College,Post-Secondary Educational Institution,College,Building J,1385 Woodroffe Avenue,5.0759865043925,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 3,1385 Woodroffe Avenue,5.16148463908629,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 3,1385 Woodroffe Avenue,5.1614846390863,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460013,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460018,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460019,
Algonquin College,Post-Secondary Educational Institution,College,Early Learning Centre,1385 Woodroffe Avenue,5.40917426294688,
Algonquin College,Post-Secondary Educational Institution,College,Building B,1385 Woodroffe Avenue,5.58420661418393,
Algonquin College,Post-Secondary Educational Institution,College,Building B,1385 Woodroffe Avenue,5.58420661418395,
Algonquin College,Post-Secondary Educational Institution,College,Building C,1385 Woodroffe Avenue,5.72959624681965,
Algonquin College,Post-Secondary Educational Institution,College,Building C,1385 Woodroffe Avenue,5.72959624681965,
Algonquin College,Post-Secondary Educational Institution,College,Police and Public Safety Institute,1385 Woodroffe Avenue,6.13598261376249,
Algonquin College,Post-Secondary Educational Institution,College,Police and Public Safety Institute,1385 Woodroffe Avenue,6.13598261376251,
Algonquin College,Post-Secondary Educational Institution,College,Building F,1385 Woodroffe Avenue,6.62740760081983,
Algonquin College,Post-Secondary Educational Institution,College,Building F,1385 Woodroffe Avenue,6.62740760081984,
Algonquin College,Post-Secondary Educational Institution,College,Building M,1385 Woodroffe Avenue,6.6711220505096,
Algonquin College,Post-Secondary Educational Institution,College,Building M,1385 Woodroffe Avenue,6.6711220505096,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797452,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797452,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797454,
Algonquin College,Post-Secondary Educational Institution,College,Physical Resources,1385 Woodroffe Avenue,7.04231883429105,
Algonquin College,Post-Secondary Educational Institution,College,Advanced Technology Centre,1385 Woodroffe Avenue,8.13011314279369,
Algonquin College,Post-Secondary Educational Institution,College,Advanced Technology Centre,1385 Woodroffe Avenue,8.13011314279372,
Algonquin College,Post-Secondary Educational Institution,College,Building N,1385 Woodroffe Avenue,10.6512594058487,
Algonquin College,Post-Secondary Educational Institution,College,Building N,1385 Woodroffe Avenue,10.6512594058487,
Algonquin College,Post-Secondary Educational Institution,College,Animal Health Care Centre,1385 Woodroffe Avenue,12.8252972423057,
Algonquin College,Post-Secondary Educational Institution,College,Animal Health Care Centre,1385 Woodroffe Avenue,12.8252972423057,
Algonquin College,Post-Secondary Educational Institution,College,Philip Killeen Hospitality Centre,1385 Woodroffe Avenue,13.0814164187878,
Algonquin College,Post-Secondary Educational Institution,College,Philip Killeen Hospitality Centre,1385 Woodroffe Avenue,13.0814164187878,
Algonquin College,Post-Secondary Educational Institution,College,Building D,1385 Woodroffe Avenue,13.191478260213,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Centre for Construction Excellence,1385 Woodroffe Avenue,1.01355491672981,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Centre for Construction Excellence,1385 Woodroffe Avenue,1.01355491672981,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 1,1385 Woodroffe Avenue,3.68520616504853,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 2,1385 Woodroffe Avenue,3.78048373012131,
Algonquin College,Post-Secondary Educational Institution,College,Transportation Technology Centre,1385 Woodroffe Avenue,5.03067356505156,
Algonquin College,Post-Secondary Educational Institution,College,Transportation Technology Centre,1385 Woodroffe Avenue,5.03067356505157,
Algonquin College,Post-Secondary Educational Institution,College,Building J,1385 Woodroffe Avenue,5.07598650439248,
Algonquin College,Post-Secondary Educational Institution,College,Building J,1385 Woodroffe Avenue,5.0759865043925,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 3,1385 Woodroffe Avenue,5.16148463908629,
Algonquin College,Post-Secondary Educational Institution,College,Residence - Phase 3,1385 Woodroffe Avenue,5.1614846390863,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460013,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460018,
Algonquin College,Post-Secondary Educational Institution,College,Algonquin Heritage Institute,7A Craig Street,5.29153565460019,
Algonquin College,Post-Secondary Educational Institution,College,Early Learning Centre,1385 Woodroffe Avenue,5.40917426294688,
Algonquin College,Post-Secondary Educational Institution,College,Building B,1385 Woodroffe Avenue,5.58420661418393,
Algonquin College,Post-Secondary Educational Institution,College,Building B,1385 Woodroffe Avenue,5.58420661418395,
Algonquin College,Post-Secondary Educational Institution,College,Building C,1385 Woodroffe Avenue,5.72959624681965,
Algonquin College,Post-Secondary Educational Institution,College,Building C,1385 Woodroffe Avenue,5.72959624681965,
Algonquin College,Post-Secondary Educational Institution,College,Police and Public Safety Institute,1385 Woodroffe Avenue,6.13598261376249,
Algonquin College,Post-Secondary Educational Institution,College,Police and Public Safety Institute,1385 Woodroffe Avenue,6.13598261376251,
Algonquin College,Post-Secondary Educational Institution,College,Building F,1385 Woodroffe Avenue,6.62740760081983,
Algonquin College,Post-Secondary Educational Institution,College,Building F,1385 Woodroffe Avenue,6.62740760081984,
Algonquin College,Post-Secondary Educational Institution,College,Building M,1385 Woodroffe Avenue,6.6711220505096,
Algonquin College,Post-Secondary Educational Institution,College,Building M,1385 Woodroffe Avenue,6.6711220505096,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797452,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797452,
Algonquin College,Post-Secondary Educational Institution,College,Building A,1385 Woodroffe Avenue,6.73677029797454,
Algonquin College,Post-Secondary Educational Institution,College,Physical Resources,1385 Woodroffe Avenue,7.04231883429105,
Algonquin College,Post-Secondary Educational Institution,College,Advanced Technology Centre,1385 Woodroffe Avenue,8.13011314279369,
Algonquin College,Post-Secondary Educational Institution,College,Advanced Technology Centre,1385 Woodroffe Avenue,8.13011314279372,
Algonquin College,Post-Secondary Educational Institution,College,Building N,1385 Woodroffe Avenue,10.6512594058487,
Algonquin College,Post-Secondary Educational Institution,College,Building N,1385 Woodroffe Avenue,10.6512594058487,
Algonquin College,Post-Secondary Educational Institution,College,Animal Health Care Centre,1385 Woodroffe Avenue,12.7485864990037,
Algonquin College,Post-Secondary Educational Institution,College,Animal Health Care Centre,1385 Woodroffe Avenue,12.7485864990037,
Algonquin College,Post-Secondary Educational Institution,College,Philip Killeen Hospitality Centre,1385 Woodroffe Avenue,12.7485864990037,
Algonquin College,Post-Secondary Educational Institution,College,Philip Killeen Hospitality Centre,1385 Woodroffe Avenue,12.7485864990037,
Algonquin College,Post-Secondary Educational Institution,College,Building D,1385 Woodroffe Avenue,12.7485864990037,
Alliston Stevenson Memorial,Public Hospital,Acute/Chronic,Mary McGill Community Mental Health Centre,200 Fletcher Crescent,4.74033681432274,
Alliston Stevenson Memorial,Public Hospital,Acute/Chronic,Stevenson Memorial Hospital,200 Fletcher Crescent,23.0443617579385,
Alliston Stevenson Memorial,Public Hospital,Acute/Chronic,Mary McGill Community Mental Health Centre,200 Fletcher Crescent,4.74033681432274,
Alliston Stevenson Memorial,Public Hospital,Acute/Chronic,Stevenson Memorial Hospital,200 Fletcher Crescent,24.1081168118371,
Almonte General Hospital,Public Hospital,Acute/Chronic,Hospital Admin,75 Spring Street,13.8322284932097,
Almonte General Hospital,Public Hospital,Acute/Chronic,Almonte General Hospital,75 Spring Street,13.8322136544262,
Arnprior and District Memorial,Public Hospital,Acute/Chronic,Arnprior and District Memorial Hospital,350 John StreetN,16.8304349601779,
Atikokan General Hospital,Public Hospital,Acute/Chronic,Atikokan General Hospital,120 Dorothy Street,17.3348893673696,
Atikokan General Hospital,Public Hospital,Acute/Chronic,Atikokan General Hospital,120 Dorothy Street,17.1005222875069,
Avon Maitland District School Board,School Board,School Board,Seaforth Administration & Maintenance Building,59 Chalk St N,5.4014068275127,
Avon Maitland District School Board,School Board,School Board,Hamlet PS,315 West Gore St,3.15109434549574,
Avon Maitland District School Board,School Board,School Board,Shakespeare PS,35 Mowat St,3.6023740662092,
Avon Maitland District School Board,School Board,School Board,Holmesville PS,670 Cut Line Road (C-H),3.83622834416629,
Avon Maitland District School Board,School Board,School Board,Elma Township,5972 Line 72 (Elma-NP),4.08440324832329,
Avon Maitland District School Board,School Board,School Board,Bedford PS,59 Bedford Dr,4.1718108622833,
Avon Maitland District School Board,School Board,School Board,North Woods ES,84295 Ethel Line,4.25888021131506,
Avon Maitland District School Board,School Board,School Board,Stratford Central,60 St. Andrew St.,4.56485637172288,
Avon Maitland District School Board,School Board,School Board,Avon PS,31 Huntingdon Ave,4.6495019274336,
Avon Maitland District School Board,School Board,School Board,Central Perth E S,4663 Road 135 (Ellc-PE),4.72782857865885,
Avon Maitland District School Board,School Board,School Board,Bluewater Coast ES,85 York Street,4.74244775078025,
Avon Maitland District School Board,School Board,School Board,Anne Hathaway Public School,77 Bruce St,4.92156314671264,
Avon Maitland District School Board,School Board,School Board,Exeter PS,93 Victoria St,4.93521675100178,
Avon Maitland District School Board,School Board,School Board,Wingham PS,131 John St E,4.9692256399621,
Avon Maitland District School Board,School Board,School Board,Wallace PS,8727 Road 164 (Wall-NP),5.15284571361961,
Avon Maitland District School Board,School Board,School Board,Listowel Central PS,305 Binning St,5.16431376473635,
Avon Maitland District School Board,School Board,School Board,Sprucedale PS,59 Fraser Street,5.23139521456726,
Avon Maitland District School Board,School Board,School Board,Little Falls PS,25 Lindsay Atkinson Drive,5.25027315193549,
Avon Maitland District School Board,School Board,School Board,Hullett Central PS,269 King St.,5.2886547010186,
Avon Maitland District School Board,School Board,School Board,Clinton PS,27 Percival St,5.3436695434392,
Avon Maitland District School Board,School Board,School Board,Goderich District CI & Goderich District CI Elementary,260 South St,5.37744784887854,
Avon Maitland District School Board,School Board,School Board,Seaforth PS,58 Chalk St N,5.40140682751271,
Avon Maitland District School Board,School Board,School Board,Howick Central S,45010 Harriston Rd (How),5.40603250717165,
Avon Maitland District School Board,School Board,School Board,F E Madill SS & ES,231 Madill Drive,5.64602406813883,
Avon Maitland District School Board,School Board,School Board,Goderich Public School,125 Blake St W,5.69865150997081,
Avon Maitland District School Board,School Board,School Board,North Easthope PS,4672 Road 108 (NEH-PE),5.73597657814175,
Avon Maitland District School Board,School Board,School Board,Romeo PS,49 Rebecca St,5.83157649155697,
Avon Maitland District School Board,School Board,School Board,Listowel DSS,155 Maitland Ave S,5.83490563760787,
Avon Maitland District School Board,School Board,School Board,South Huron DHS & DES,92 Gidley St E,5.87756104156108,
Avon Maitland District School Board,School Board,School Board,Stephen Central PS,70042 Goshen Line (Steph-SH),5.90798735871659,
Avon Maitland District School Board,School Board,School Board,Upper Thames E S,165 Frances St. RR#5,5.97017448111769,
Avon Maitland District School Board,School Board,School Board,Colborne Central PS - Victoria Campus,135 Gibbons St,6.0920539593737,
