,dim_organization,organization,n_buildings
175,182,Huntsville Muskoka Algonquin Healthcare,4
176,183,Mississauga The Credit Valley Hospital and Trillium Health Centre,7
177,472,Town of Amherstburg,18
178,185,Toronto University Health Network,8
179,186,Ottawa Queensway-Carleton Hospital,1
180,187,Township of Southgate,13
181,188,Guelph St. Joseph's Health Care,1
182,189,Municipality of Magnetawan,4
183,360,Hôpital Général de Hawkesbury & District General Hospital,4
184,191,Guelph University,1
185,473,Niagara Catholic District School Board,69
186,193,Markham Stouffville Hospital,4
187,194,Township of Atikokan,11
188,195,Mount Forest North Wellington Health Care Corporation,6
189,196,McMaster University,1
190,197,Region of Peel,31
191,198,Municipality of Highlands East,24
192,199,County of Lambton,24
193,34,Kingston Hotel Dieu Hospital,2
194,201,City of Vaughan,48
195,362,Municipality of Greenstone,43
196,203,The Scarborough Hospital,4
197,204,Toronto Sunnybrook health Sciences Centre,42
198,205,Hagersville West Haldimand General Hospital,3
199,620,City of Barrie,39
200,206,Township of North Kawartha,14
201,207,St. Marys Memorial Hospital,1
202,208,Thunder Bay Regional Health Sciences Centre,1
203,364,Township of Norwich,16
204,209,Regional Municipality of Durham,37
205,210,Huron‐Superior Catholic District School Board,29
206,555,Toronto St. Michael's Hospital,3
207,211,Town of LaSalle,12
208,367,Arnprior and District Memorial,1
209,213,Sioux Lookout Meno-Ya-Win Health Centre,1
210,214,County of Hastings,6
211,215,City of Timmins,33
212,41,District School Board Ontario North East,38
213,217,Hastings and Prince Edward District School Board,55
214,218,Township of Mattice-Val Cote,4
215,219,Municipality of Mattawan,1
216,221,Town of Cochrane,26
217,223,Township of Southwold,11
218,106,Village of Sundridge,5
219,225,Burlington Joseph Brant Memorial,1
220,137,Kawartha Pine Ridge District School Board,94
221,228,Near North District School Board,47
222,229,Conseil scolaire de district des écoles catholiques du Sud‐Ouest,29
223,230,Kitchener St. Mary's General Hospital,1
224,231,Canadore College,18
225,232,Township of Wellesley,13
226,566,Municipality of Lambton Shores,25
227,479,Rainbow District School Board,53
228,233,Ottawa Bruyere Continuing Care Inc.,7
229,234,Township of North Huron,21
230,235,Laurentian University,1
231,236,Municipality of West Elgin,18
232,237,City of Stratford,17
233,238,Township of Black River-Matheson,14
234,10,Town of Tillsonburg,10
235,240,Sault Ste. Marie Sault Area Hospital,2
236,241,Township of Woolwich,23
237,242,City of Clarence-Rockland,17
238,243,City of Cambridge,59
239,244,Bluewater District School Board,53
240,245,Lakehead University,2
241,246,County of Lanark,6
242,247,Town of Halton Hills,23
243,248,Algoma District School Board,57
244,249,Kirkland and District Hospital,2
245,250,Cochrane Lady Minto Hospital,1
246,251,Fergus Groves Memorial Community Hospital,2
247,252,Municipality of Gordon/Barrie Island,4
248,253,Township of Georgian Bay,12
249,254,Town of Cobalt,4
250,255,Village of Burk's Falls,8
251,256,Sturgeon Falls West Nipissing General,2
252,257,Township of Ramara,17
253,258,Greater Essex County District School Board,83
254,259,Renfrew County Catholic District School Board,24
255,260,Township of Melancthon,3
256,261,Township of Dawn-Euphemia,6
257,262,Grand Erie District School Board,81
258,263,Town of Spanish,5
259,335,City of Greater Sudbury,253
260,265,Township of La Vallee,3
261,266,Town of Midland,13
262,267,North Bay Regional Health Centre,4
263,268,Loyalist Township,28
264,269,Loyalist College,13
265,143,Township of Alfred and Plantagenet,21
266,271,Municipality of Thames Centre,11
267,272,Township of Clearview,25
268,273,Ottawa Catholic School Board,82
269,274,Township of Harley,5
270,275,Geraldton District Hospital,1
271,276,District School Board Of Niagara,123
272,277,Township of Russell,25
273,278,Township of South Stormont,14
274,279,Sault College,8
275,48,Haliburton Highlands Health Services,2
276,281,Township of Strong,4
277,282,Township of Severn,8
278,380,Thunder Bay Catholic District School Board,21
279,284,Napanee Lennox & Addington County General Hospital,1
280,285,Brockville General Hospital,5
281,286,Englehart and District Hospital,3
282,287,Township of Opasatika,4
283,288,Conseil scolaire de district catholique Centre‐Sud,54
284,289,Toronto Baycrest,2
285,290,Township of Chapple,5
286,291,District of Muskoka,9
287,292,Township of The North Shore,3
288,293,Township of Ryerson,5
289,294,La Cite Collegiale,2
290,295,Municipality of Marmora and Lake,20
291,296,Township of Lanark Highlands,24
292,297,Blind River District Health Centre,1
293,298,Sir Sandford Fleming,39
294,299,Municipality of South Huron,19
295,300,Timmins and District Hospital,1
296,301,Oakville Halton Healthcare Services,6
297,302,Township of Armstrong,5
298,303,Township of Chisholm,4
299,304,Hanover and District Hospital,1
300,305,London District Catholic School Board,61
301,608,Kitchener Grand River Hospital,8
302,307,Sarnia Bluewater Health,2
303,308,Renfrew County District School Board,32
304,309,Township of Otonabee-South Monaghan,10
305,311,Nipigon District Memorial Hospital,1
306,312,City of Hamilton,162
307,313,Toronto Rouge Valley Health System,4
308,370,City of Belleville,34
309,314,Township of Conmee,7
310,315,Hornepayne Community Hospital,2
311,316,Nipissing‐Parry Sound Catholic District School Board,14
312,317,County of Dufferin,10
313,318,University of Western Ontario,67
314,319,Georgian College,9
315,320,Township of Dorion,6
316,321,Township of Casey,5
317,322,Municipality of West Perth,14
318,323,Municipality of Centre Hastings,11
319,324,Township of Puslinch,7
320,325,Norfolk County,77
321,142,University of Toronto,1
322,327,Brampton William Osler Health System,6
323,455,City of Brantford,52
324,330,Simcoe County District School Board,126
325,80,Township of Machar,3
326,332,Town of Gore Bay,11
327,333,Township of Wainfleet,7
328,334,Municipality of Dysart Et Al,15
329,264,Perth & Smiths Falls District Hospital,4
330,336,Town of Blind River,6
331,337,Municipality of Powassan,13
332,64,Township of Terrace Bay,9
333,663,Superior North Catholic District School Board,9
334,339,Township of Hilton,3
335,340,Township of Wilmot,13
336,341,Town of Iroquois Falls,18
337,342,City of Woodstock,24
338,343,Town of Greater Napanee,23
339,105,Strathroy Middlesex General Hospital,4
340,345,Toronto Humber River Regional Hospital,4
341,346,Hearst Notre Dame Hospital,2
342,118,Township of Kerns,4
343,124,Town of Espanola,12
344,349,Rainy River District School Board,14
345,350,Haldimand County,43
346,351,Township of Edwardsburgh/Cardinal,9
347,352,Township of North Dumfries,11
348,353,Queen's University,1
349,354,Town of St. Marys,12
350,355,Conseil scolaire de district catholique de l'est Ontarien,47
351,356,Iroquois Falls Anson General Hospital,1
352,357,City of Kitchener,44
353,358,City of Dryden,19
354,359,Township of Lake of the Woods,2
355,190,Municipality of Brockton,11
356,361,Conseil scolaire de district catholique du Nouvel‐Ontario,34
357,202,Township of Carlow/Mayo,4
358,363,Kingston Providence Care Centre,3
359,168,Town of Perth,10
360,365,County of Renfrew,10
361,366,Cambrian College,13
362,212,Town of Fort Frances,14
363,368,Mohawk College,9
364,388,Ottawa Children's Hospital of Eastern Ontario,2
365,227,Township of Morley,5
366,372,Township of North Dundas,24
367,373,Lindsay Ross Memorial Hospital,2
368,374,West Parry Sound Health Centre,1
369,375,Township of Harris,2
370,510,Municipality of Tweed,7
371,377,Region of Waterloo,42
372,378,George Brown College,12
373,379,Municipality of Charlton and Dack,2
374,283,Town of Deseronto,6
375,381,Township of Wellington North,14
376,382,Township of South Algonquin,13
377,383,Conseil des écoles publiques de l'Est de l'Ontario,32
378,384,Township of Calvin,4
379,385,Waterloo Region District School Board,124
380,386,Separated Town of Gananoque,8
381,387,Peterborough Victoria Northumberland and Clarington District Catholic School Board,39
382,369,Clinton Public Hospital,1
383,389,Township of Madoc,4
384,390,Conseil scolaire de district catholique des Grandes Rivières,45
385,391,Township of Georgian Bluffs,10
386,392,The Public General Hospital Society of Chatham,1
387,393,Algonquin College,78
388,394,Municipality of Killarney,10
389,395,Town of Bracebridge,14
390,397,Catholic District School Board of Eastern Ontario,45
391,398,Township of Oro-Medonte,18
392,399,Town of Erin,10
393,400,Township of Papineau-Cameron,3
394,401,Town of Bruce Mines,5
395,402,Seneca College,123
396,403,Town of Hanover,14
397,404,Township of Chatsworth,13
398,405,"United Counties of Stormont, Dundas & Glengarry",19
399,406,Town of Arnprior,7
400,407,Town of Whitchurch-Stouffville,21
401,408,Halton District School Board,103
402,409,Toronto Providence Healthcare,2
403,410,Mattawa General Hospital,2
404,411,Township of Bonfield,5
405,412,Town of Petawawa,10
406,413,City of Waterloo,62
407,414,Township of McMurrich/Monteith,8
408,415,City of Elliot Lake,12
409,416,Ottawa‐Carleton District School Board,150
410,417,Town of East Gwillimbury,21
411,418,Township of James,8
412,419,Town of Smooth Rock Falls,7
413,420,"Township of Brudenell, Lyndoch and Raglan",13
414,421,Municipality of Huron Shores,17
415,422,Lambton College,27
416,423,Sheridan College,25
417,424,County of Peterborough,15
418,425,Township of Burpee & Mills,6
419,426,Cornwall Community Hospital,9
420,427,Brant Caommunity Healthcare System,2
421,428,Guelph General Hospital,1
422,222,York University,72
423,430,Town of Georgina,36
424,431,County of Brant,43
425,432,Alexandria Glengarry Memorial Hospital,2
426,433,Township of Drummond/North Elmsley,8
427,434,City of Sarnia,32
428,435,Wingham and District Hospital,2
429,436,City of Peterborough,29
430,514,County of Haliburton,8
431,438,St. Thomas - Elgin General Hospital,2
432,439,Elliot Lake St. Joseph's General Hospital,1
433,440,Township of Enniskillen,4
434,441,Lakehead District School Board,56
435,442,Municipality of Morris-Turnberry,6
436,443,Keewatin‐Patricia District School Board,25
437,444,Lambton Kent District School Board,71
438,445,Township of Minden Hills,16
439,446,Town of Thessalon,5
440,589,Township of Lucan Biddulph,8
441,447,Toronto St. Joseph's Health Care,2
442,448,Municipality of Wawa,9
443,449,Township of Ear Falls,14
444,67,Village of Merrickville-Wolford,9
445,518,Township of Douro-Dummer,18
446,452,Municipality of Kincardine,14
447,453,Township of Blandford-Blenheim,10
448,454,Town of Collingwood,8
449,103,Town of Cobourg,16
450,456,Township of The Archipelago,3
451,457,Cambridge Memorial Hospital,1
452,637,Town of Kapuskasing,12
453,459,Toronto North York General,5
454,460,Township of Evanturel,2
455,461,City of London,66
456,462,City of Brockville,16
457,463,Ottawa Royal Ottawa Health Care Group,2
458,464,Windsor Hotel-Dieu Grace Hospital,1
459,465,Township of McNab/Braeside,16
460,152,Seaforth Community Hospital,1
461,331,County of Perth,10
462,163,Centennial College,31
463,468,Town of Hawkesbury,11
464,469,Upper Grand District School Board,77
465,470,Municipality of Huron East,17
466,471,New Liskeard Temiskaming Hospital,2
467,184,Township of Dubreuilville,5
468,192,York Region District School Board,219
469,474,Township of Frontenac Islands,12
470,475,Orangeville Headwaters Health Care Centre,2
471,476,Town of Carleton Place,11
472,477,Leamington District Memorial Hospital,1
473,478,Township of Elizabethtown-Kitley,9
474,176,Goderich Alexandra Marine and General Hospital,5
475,640,Township of Chamberlain,4
476,481,Town of New Tecumseth,32
477,482,United Counties of Leeds & Grenville,12
478,483,City of Ottawa,203
479,484,Atikokan General Hospital,2
480,485,Town of Northeastern Manitoulin and the Islands,16
481,486,Township of Sables-Spanish Rivers,15
482,487,Town of Tecumseh,14
483,488,Peel District School Board,253
484,489,Village of Oil Springs,4
485,490,Municipality of North Perth,17
486,492,Township of Lake of Bays,19
487,493,Municipality of Callander,8
488,494,Municipality of Trent Hills,28
489,495,Municipality of French River,8
490,496,Municipality of West Nipissing,30
491,497,Waterloo Catholic District School Board,61
492,498,Township of Howick,11
493,499,Toronto West Park Healthcare Centre,2
494,500,Woodstock General Hospital,3
495,501,Township of East Luther Grand Valley,8
496,502,City of Quinte West,29
497,503,St. Catharines Niagara Health System,7
498,504,Town of Marathon,14
499,644,Municipality of Brighton,10
500,506,Thames Valley District School Board,178
501,507,County of Simcoe,30
502,508,St. Clair College,10
503,509,Township of South Frontenac,25
504,376,University of Ottawa,43
505,511,Township of North Stormont,18
506,512,Township of Bonnechere Valley,20
507,437,Township of Schreiber,12
508,515,Township of Perth South,5
509,645,Halton Catholic District School Board,52
510,517,Township of Wollaston,3
511,451,Township of Uxbridge,23
512,519,Town of Aurora,14
513,520,"Township of Killaloe, Hagarty & Richards",8
514,521,Township of Coleman,2
515,522,County of Frontenac,10
516,523,Township of Chapleau,6
517,491,Township of Montague,4
518,525,Township of Mapleton,18
519,526,The Nation Municipality,10
520,527,Town of Plympton-Wyoming,14
521,528,Township of Red Rock,4
522,529,Conseil scolaire de district du Grand Nord de l'Ontario,14
523,649,St. Joseph's Healthcare Hamilton,3
524,530,Sudbury St. Joseph's Continuing Care Centre of Sudbury,1
525,531,Town of Whitby,32
526,532,Ryerson University,1
527,533,Town of Pelham,11
528,534,Township of Hilliard,3
529,536,Owen Sound Grey Bruce Health Services,6
530,537,Niagara College,48
531,538,Township of Greater Madawaska,8
532,539,Village of Hilton Beach,12
533,540,Thunder Bay St. Joseph's Care Group,2
534,541,Township of Perth East,14
535,542,County of Essex,25
536,326,United Counties of Prescott & Russell,12
537,544,Northern College,22
538,545,Township of Alnwick/Haldimand,11
539,546,Town of Aylmer,9
540,42,Township of East Zorra-Tavistock,10
541,548,Township of Assiginack,6
542,549,St. Clair Catholic District School Board,32
543,220,Fort Frances Riverside Health Care,3
544,130,Toronto Centre for Addiction and Mental Health,4
545,552,Township of Prince,5
546,553,Township of Val Rita-Harty,3
547,554,Little Current Manitoulin Health Centre,4
548,310,Township of South-West Oxford,15
549,556,Town of Orangeville,7
550,657,Lady Dunn Health Centre,3
551,557,Town of Bradford-West Gwillimbury,18
552,558,Hamilton‐Wentworth District School Board,119
553,559,Upper Canada District School Board,100
554,560,Township of Ashfield-Colborne-Wawanosh,11
555,561,Township of Leeds and the Thousand Islands,23
556,396,Township of Central Frontenac,18
557,563,Peterborough Regional Health Centre,1
558,564,Township of North Algona Wilberforce,7
559,565,Township of North Frontenac,28
560,43,Toronto District School Board,584
561,567,Township of Jocelyn,3
562,568,Whitby Ontario Shores Centre for Mental Health Sciences,2
563,569,Municipality of Whitestone,7
564,570,Township of White River,10
565,571,Township of Guelph/Eramosa,11
566,572,Simcoe Norfolk General Hospital,1
567,573,Town of Ingersoll,10
568,574,Township of O'Connor,4
569,96,Township of Hamilton,12
570,100,Township of Scugog,18
571,110,Township of Athens,7
572,578,Township of Cavan Monaghan,12
573,579,Almonte General Hospital,2
574,429,Nipissing University,21
575,551,Municipality of Arran-Elderslie,18
576,581,Town of Shelburne,6
577,582,Township of Tay,18
578,583,Durham District School Board,181
579,584,Town of Mississippi Mills,9
580,585,Tay Valley Township,6
581,586,County of Northumberland,14
582,587,Town of Goderich,11
583,513,Township of McKellar,7
584,590,Alliston Stevenson Memorial,4
585,591,Township of Ignace,1
586,592,Town of Englehart,6
587,593,Sudbury Catholic District School Board,24
588,594,Township of Joly,3
589,595,Town of Wasaga Beach,14
590,596,Matheson Bingham Memorial Hospital,1
591,597,Town of Caledon,37
592,598,Toronto Hospital for Sick Children,3
593,599,Township of Augusta,12
594,600,Municipality of West Grey,31
595,601,Municipality of Middlesex Centre,15
596,543,Town of Ajax,25
597,602,Town of Fort Erie,18
598,603,Township of Zorra,10
599,604,Township of Brock,21
600,605,Municipality of Central Elgin,8
601,606,Huron Perth Catholic District School Board,19
602,607,County of Lennox & Addington,11
603,629,City of Port Colborne,20
604,306,Township of West Lincoln,6
605,609,Village of South River,5
606,610,University of Toronto at Mississauga,1
607,611,Town of Richmond Hill,61
608,612,Township of Whitewater Region,20
609,613,Trillium Lakelands District School Board,60
610,614,Trent University,3
611,615,City of Cornwall,34
612,616,Township of Mulmur,5
613,617,Dufferin Peel Catholic District School Board,156
614,618,Township of Limerick,3
615,619,Wallaceburg Sydenham District Hospital,1
616,329,Township of Tudor & Cashel,3
617,621,Town of Rainy River,6
618,622,Municipality of Central Manitoulin,15
619,623,Winchester District Memorial Hospital,3
620,624,Penetanguishene Waypoint Centre for Mental Health Care,1
621,625,London Health Sciences Centre,8
622,328,County of Oxford,23
623,627,St. Catharines Hotel Dieu Shaver,1
624,628,Town of Huntsville,18
625,154,Township of King,25
626,630,Confederation College,9
627,631,Dryden Regional Health Centre,2
628,632,Township of Fauquier-Strickland,7
629,547,Stratford General Hospital,7
630,633,Moose Factory Weeneebayko Area Health Authority,5
631,634,Collingwood General and Marine Hospital,1
632,635,City of Kingston,57
633,636,Township of South Glengarry,3
634,458,Township of Baldwin,4
635,580,Township of Madawaska Valley,13
636,638,Municipality of South Bruce,13
637,639,Municipality of Central Huron,9
638,480,Windsor Regional Hospital,2
639,641,Town of Kearney,3
640,642,Municipality of Dutton/Dunwich,14
641,643,Municipality of McDougall,6
642,505,Township of Stirling-Rawdon,15
643,516,Exeter South Huron Hospital Association,2
644,646,Toronto Bridgepoint Hospital,1
645,647,Conseil scolaire de district catholique Franco‐Nord,16
646,648,Municipality of St. Charles,12
647,550,Conseil scolaire de district catholique des Aurores boréales,5
648,650,Township of Nipissing,7
649,651,Sudbury Health Science North,3
650,652,Township of Laird,6
651,653,Town of Minto,22
652,654,Town of Saugeen Shores,13
653,655,Municipality of Hastings Highlands,20
654,656,Simcoe Muskoka Catholic District School Board,55
655,181,City of Orillia,30
656,658,Municipality of Red Lake,9
657,239,City of Brampton,194
658,659,Toronto Holland Bloorview Kids Rehabilitation Hospital,3
659,669,Municipality of Southwest Middlesex,20
660,660,Avon Maitland District School Board,45
661,661,Cobourg Northumberland Hills Hospital,1
662,662,Township of Springwater,22
663,33,"Township of MacDonald, Meredith & Aberdeen Add'l",10
664,664,Town of Smiths Falls,18
665,665,Municipality of Trent Lakes,12
666,666,Town of Markham,74
667,667,Fanshawe College,90
668,668,University of Toronto at Scarborough,1
669,588,Brant Haldimand Norfolk Catholic District School Board,36
